ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	first_front	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	pareto_fronts	runtime_error	time_adjust	time_taken	total_inds	total_time	
138.41	8.73	135.83	92.41	2	0	0	904	11	890	603	16	7	15	11	21	0	0	116.91782760620117	100	116.91782760620117	
137.47	8.78	113.98	77.4	4	1	63	904	17	890	603	16	7	15	11	12	0	0	36.32666516304016	200	153.24449276924133	
153.59	9.15	104.82	71.05	4	2	114	621	17	607	414	21	7	15	11	13	0	0	45.03910255432129	300	198.28359532356262	
149.57	9.39	116.76	78.92	6	3	163	621	17	607	414	21	7	15	11	17	0	0	47.48238945007324	400	245.76598477363586	
138.18	9.43	100.22	67.6	6	4	207	621	17	607	414	21	7	15	11	16	0	0	53.72104597091675	500	299.4870307445526	
126.05	9.54	90.2	61.0	6	5	245	621	16	607	414	29	7	15	11	15	0	0	57.02624154090881	600	356.5132722854614	
117.01	9.31	80.83	54.47	8	6	290	621	16	607	414	31	7	20	14	14	0	0	51.19785690307617	700	407.7111291885376	
121.93	9.39	81.67	55.06	8	7	327	621	16	607	414	21	7	20	14	14	0	0	58.50012397766113	800	466.21125316619873	
124.39	9.0	69.87	47.01	11	8	357	621	16	607	414	13	7	20	14	13	0	0	64.62783074378967	900	530.8390839099884	
118.1	8.96	61.81	41.47	14	9	384	317	16	367	247	13	8	21	15	11	0	0	67.18216156959534	1000	598.0212454795837	
116.59	8.92	58.83	39.45	16	10	412	266	16	367	247	13	8	31	21	10	0	0	67.24477291107178	1100	665.2660183906555	
112.92	8.81	53.58	35.82	14	11	432	266	16	367	247	13	8	31	21	9	0	0	70.566721200943	1200	735.8327395915985	
105.04	8.72	49.94	33.4	16	12	453	257	16	198	135	13	7	20	14	8	0	0	72.71433472633362	1300	808.5470743179321	
101.19	8.56	43.85	29.22	18	13	471	258	16	198	135	21	7	20	14	7	0	0	75.4393584728241	1400	883.9864327907562	
101.71	8.34	39.75	26.39	18	14	494	261	10	159	108	21	7	20	14	6	0	0	68.84958791732788	1500	952.8360207080841	
97.23	8.33	37.92	25.12	23	15	516	265	13	111	73	21	7	20	14	5	0	0	70.24882006645203	1600	1023.0848407745361	
102.97	8.31	37.37	24.75	30	16	539	265	13	111	73	31	7	20	14	5	0	0	70.70722889900208	1700	1093.7920696735382	
97.71	8.25	36.8	24.35	12	17	556	265	13	111	73	31	7	20	14	5	0	0	74.75125646591187	1800	1168.54332613945	
93.2	8.32	39.19	26.03	16	18	578	265	15	363	245	31	7	20	14	6	0	0	71.60041975975037	1900	1240.1437458992004	
94.1	8.31	38.32	25.52	25	19	602	265	15	363	245	31	7	20	14	5	0	0	70.8642189502716	2000	1311.007964849472	
92.51	8.39	37.91	25.33	11	20	628	265	15	363	245	31	7	20	14	5	0	0	68.20240306854248	2100	1379.2103679180145	
87.38	8.44	38.03	25.49	18	21	656	256	15	363	245	31	7	20	14	5	0	0	65.2703287601471	2200	1444.4806966781616	
85.92	8.56	38.91	26.2	7	22	676	256	16	363	245	33	7	20	14	6	0	0	71.74194383621216	2300	1516.2226405143738	
85.76	8.55	38.79	26.13	11	23	696	256	16	363	245	55	7	20	14	6	0	0	72.91799592971802	2400	1589.1406364440918	
84.29	8.6	39.0	26.34	12	24	726	256	16	363	245	55	7	20	14	7	0	0	61.96391320228577	2500	1651.1045496463776	
84.35	8.56	35.7	24.12	14	25	749	256	16	99	70	55	7	20	14	7	0	0	68.92065858840942	2600	1720.025208234787	
84.1	8.61	36.08	24.41	16	26	781	256	16	99	70	55	7	20	14	5	0	0	61.38510346412659	2700	1781.4103116989136	
86.04	8.58	35.51	24.01	18	27	807	256	16	99	70	55	7	20	14	5	0	0	65.83583426475525	2800	1847.2461459636688	
87.37	8.68	36.21	24.53	21	28	829	256	16	99	70	55	7	20	14	5	0	0	71.00306820869446	2900	1918.2492141723633	
85.7	8.73	37.34	25.29	23	29	852	243	16	122	86	55	7	20	14	6	0	0	70.23704695701599	3000	1988.4862611293793	
86.63	8.78	37.93	25.63	28	30	883	243	16	122	86	55	7	20	14	6	0	0	62.309159994125366	3100	2050.7954211235046	
87.04	8.68	37.47	25.17	33	31	910	243	16	122	86	55	8	31	21	5	0	0	66.14835286140442	3200	2116.943773984909	
87.53	8.7	38.05	25.61	25	32	933	243	16	122	86	57	8	31	21	5	0	0	70.80030584335327	3300	2187.7440798282623	
87.67	8.74	38.19	25.67	29	33	958	243	16	122	86	57	8	31	21	5	0	0	68.12899899482727	3400	2255.8730788230896	
85.16	8.8	38.99	26.23	37	34	983	145	16	122	86	57	8	31	21	5	0	0	68.11654806137085	3500	2323.9896268844604	
86.63	8.76	39.13	26.29	46	35	1012	145	16	122	86	57	8	32	21	5	0	0	63.15461230278015	3600	2387.1442391872406	
88.0	8.79	39.31	26.4	44	36	1036	145	16	122	86	57	8	32	21	4	0	0	66.91592645645142	3700	2454.060165643692	
88.66	8.66	37.4	25.03	52	37	1059	145	16	99	70	57	7	20	14	4	0	0	69.49270510673523	3800	2523.5528707504272	
88.71	8.63	37.02	24.72	58	38	1086	128	16	99	70	57	8	32	21	3	0	0	67.43825578689575	3900	2590.991126537323	
88.26	8.53	36.45	24.28	64	39	1108	128	16	99	70	57	8	32	21	3	0	0	70.91429400444031	4000	2661.9054205417633	
91.58	8.75	38.76	25.96	25	40	1132	171	16	99	70	57	8	32	21	4	0	0	68.39283227920532	4100	2730.2982528209686	
92.16	8.75	38.92	26.07	30	41	1164	171	16	99	70	57	8	32	21	4	0	0	63.60600280761719	4200	2793.904255628586	
93.31	8.73	38.82	25.99	38	42	1188	171	16	99	70	57	8	32	21	4	0	0	68.9215157032013	4300	2862.825771331787	
94.58	8.62	37.73	25.22	52	43	1210	171	16	99	70	57	8	32	21	4	0	0	67.92298436164856	4400	2930.7487556934357	
95.93	8.56	37.7	25.17	62	44	1225	171	16	99	70	57	8	32	21	4	0	0	74.72751927375793	4500	3005.4762749671936	
95.88	8.49	36.96	24.61	72	45	1248	152	16	99	70	57	8	32	21	3	0	0	69.10760521888733	4600	3074.583880186081	
97.64	8.44	37.02	24.6	81	46	1276	152	16	99	70	57	8	32	21	3	0	0	64.8264091014862	4700	3139.410289287567	
97.58	8.42	36.91	24.51	90	47	1306	152	16	99	70	66	8	32	21	3	0	0	64.13063597679138	4800	3203.5409252643585	
99.39	8.48	37.86	25.19	100	48	1327	152	16	99	70	66	8	32	21	2	0	0	73.31432580947876	4900	3276.8552510738373	
97.28	8.15	34.7	22.89	100	49	1349	152	16	94	67	66	8	32	21	2	0	0	72.36469221115112	5000	3349.2199432849884	
