ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	first_front	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	pareto_fronts	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
1650.78	11.92	1565.66	1100.7	14	0	0	10492	17	9955	6995	30	7	28	20	5	33	0	196.41719961166382	50	196.41719961166382	17	66.0	
144.92	9.097560975609756	80.53658536585365	56.609756097560975	32	1	24	645	14.0	618.0	430.0	30	7.0	26.0	19.0	7	36	0	92.33092045783997	100	288.7481200695038	40	60.0	
147.08	9.18	74.76	52.54	8	2	54	645	16	618	430	30	7	28	19	5	40	0	64.23472547531128	150	352.98284554481506	56	62.666666666666664	
