ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	first_front	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	pareto_fronts	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
132.7	8.58	130.5	88.6	2	0	0	963	11	949	642	16	7	15	11	17	0	0	182.0048806667328	50	182.0048806667328	50	0.0	
117.3	8.5	87.26	59.24	2	1	32	553	12	547	369	16	7	15	11	11	0	0	62.45180106163025	100	244.45668172836304	68	32.0	
162.6	8.5	88.1	59.62	3	2	59	553	13	547	369	16	7	15	11	12	0	0	72.49097895622253	150	316.94766068458557	90	40.0	
159.78	8.74	95.22	64.32	4	3	83	553	16	547	369	16	7	15	11	14	0	0	83.13812923431396	200	400.08578991889954	116	42.00000000000001	
158.44	8.48	83.56	56.38	4	4	108	553	13	547	369	16	7	15	11	15	0	0	76.41149735450745	250	476.497287273407	141	43.60000000000001	
153.62	8.52	73.22	49.36	4	5	130	553	13	547	369	16	7	15	11	16	0	0	86.64281892776489	300	563.1401062011719	165	44.99999999999999	
147.94	8.5	70.76	47.72	5	6	146	553	13	547	369	16	7	15	11	13	0	0	103.29199266433716	350	666.432098865509	199	43.14285714285714	
147.72	8.5	70.76	47.72	5	7	176	553	13	547	369	16	7	15	11	14	0	0	59.35059952735901	400	725.782698392868	219	45.25	
135.28	8.46	66.34	44.7	5	8	200	553	13	547	369	16	7	15	11	14	0	0	85.9175934791565	450	811.7002918720245	243	46.0	
140.86	8.5	67.14	45.2	7	9	214	553	13	547	369	21	7	15	11	13	0	0	111.20404648780823	500	922.9043383598328	277	44.599999999999994	
129.56	8.6	61.06	41.08	6	10	235	553	13	547	369	21	7	15	11	13	0	0	92.6738862991333	550	1015.5782246589661	303	44.90909090909091	
138.1	8.62	58.68	39.44	6	11	256	553	13	547	369	16	7	15	11	12	0	0	82.04810333251953	600	1097.6263279914856	331	44.833333333333336	
141.52	8.74	59.24	39.92	2	12	284	553	13	547	369	21	7	15	11	12	0	0	60.88693857192993	650	1158.5132665634155	352	45.84615384615385	
135.6	8.64	56.3	37.98	2	13	306	553	13	547	369	21	7	15	11	11	0	0	78.048987865448	700	1236.5622544288635	376	46.285714285714285	
128.42	8.68	56.22	37.94	2	14	340	553	13	547	369	21	8	15	11	12	0	0	45.77666521072388	750	1282.3389196395874	389	48.133333333333326	
120.62	8.66	55.66	37.58	2	15	358	553	13	547	369	21	8	15	11	11	0	0	90.28135347366333	800	1372.6202731132507	416	48.0	
120.22	8.82	56.48	38.24	2	16	385	553	13	547	369	21	8	15	11	11	0	0	66.1133120059967	850	1438.7335851192474	437	48.588235294117645	
118.84	8.88	56.14	38.12	2	17	411	553	13	547	369	15	8	15	11	12	0	0	66.5392701625824	900	1505.2728552818298	458	49.111111111111114	
115.26	8.96	56.74	38.54	2	18	428	553	13	547	369	15	8	15	11	12	0	0	89.44420647621155	950	1594.7170617580414	488	48.631578947368425	
106.46	8.96	56.44	38.38	3	19	448	553	13	547	369	15	8	15	11	13	0	0	81.33339023590088	1000	1676.0504519939423	514	48.6	
93.18	8.9	46.22	31.52	3	20	467	553	13	547	369	15	8	15	11	15	0	0	84.82969450950623	1050	1760.8801465034485	544	48.1904761904762	
95.04	8.98	46.9	32.06	3	21	489	553	13	547	369	15	8	15	11	17	0	0	76.67245292663574	1100	1837.5525994300842	570	48.18181818181818	
93.26	8.98	46.94	32.08	3	22	501	553	13	547	369	15	8	15	11	17	0	0	106.16534280776978	1150	1943.717942237854	602	47.652173913043484	
87.94	8.92	45.56	31.16	3	23	522	553	13	547	369	15	8	15	11	15	0	0	79.12233567237854	1200	2022.8402779102325	626	47.833333333333336	
87.74	8.92	45.14	30.92	3	24	544	553	13	547	369	15	8	15	11	15	0	0	80.51305794715881	1250	2103.3533358573914	651	47.919999999999995	
87.8	8.94	45.48	31.16	3	25	564	553	13	547	369	15	8	15	11	16	0	0	83.12041282653809	1300	2186.4737486839294	678	47.84615384615385	
88.38	8.96	44.98	30.9	3	26	585	553	13	547	369	15	8	15	11	17	0	0	80.20827960968018	1350	2266.6820282936096	706	47.7037037037037	
88.5	8.94	44.16	30.38	3	27	603	553	13	547	369	15	8	15	11	17	0	0	91.710782289505	1400	2358.3928105831146	736	47.42857142857143	
87.16	8.92	43.6	30.02	3	28	621	553	13	547	369	15	8	15	11	18	0	0	87.7267951965332	1450	2446.119605779648	766	47.17241379310345	
86.4	8.84	42.32	29.12	3	29	635	553	13	547	369	15	8	15	11	18	0	0	99.32753896713257	1500	2545.4471447467804	798	46.8	
78.7	8.8	42.3	29.12	3	30	653	553	12	547	369	15	8	15	11	17	0	0	86.93333172798157	1550	2632.380476474762	826	46.70967741935483	
74.02	8.8	41.96	28.92	3	31	671	553	12	547	369	15	8	15	11	17	0	0	88.07781648635864	1600	2720.4582929611206	855	46.56249999999999	
76.38	8.86	43.34	29.82	3	32	691	553	12	547	369	15	8	15	11	16	0	0	82.20004606246948	1650	2802.65833902359	882	46.54545454545455	
73.48	9.02	44.62	30.76	3	33	710	553	14	547	369	15	8	15	11	15	0	0	87.29742932319641	1700	2889.9557683467865	905	46.76470588235294	
73.72	8.98	44.16	30.44	3	34	729	553	14	547	369	15	8	15	11	15	0	0	87.99313044548035	1750	2977.948898792267	932	46.74285714285714	
73.92	8.98	44.26	30.52	3	35	747	553	14	547	369	15	8	15	11	14	0	0	88.9941086769104	1800	3066.9430074691772	960	46.666666666666664	
63.56	8.98	33.8	23.54	3	36	768	456	14	75	51	15	8	15	11	15	0	0	79.54411101341248	1850	3146.4871184825897	983	46.86486486486486	
63.74	9.0	33.8	23.54	3	37	791	456	14	75	51	15	8	15	11	16	0	0	73.93318343162537	1900	3220.420301914215	1007	47.0	
63.74	9.0	33.8	23.54	3	38	813	456	14	75	51	15	8	15	11	16	0	0	77.09065103530884	1950	3297.510952949524	1030	47.179487179487175	
64.84	8.98	34.14	23.7	3	39	833	456	14	75	51	15	8	15	11	15	0	0	81.35452246665955	2000	3378.8654754161835	1055	47.25	
64.84	8.98	34.14	23.7	3	40	854	456	14	75	51	15	8	15	11	15	0	0	80.76569294929504	2050	3459.6311683654785	1079	47.36585365853658	
65.22	8.96	33.92	23.54	3	41	876	456	14	75	51	15	8	15	11	16	0	0	81.61003732681274	2100	3541.2412056922913	1105	47.38095238095238	
65.22	8.96	33.92	23.54	3	42	899	456	14	75	51	15	8	15	11	16	0	0	75.22839117050171	2150	3616.469596862793	1130	47.44186046511628	
64.96	8.98	34.9	24.14	3	43	921	456	14	75	51	15	8	15	11	16	0	0	76.09308862686157	2200	3692.5626854896545	1151	47.68181818181818	
65.22	8.96	34.26	23.74	3	44	941	456	14	75	51	15	8	15	11	16	0	0	82.86088061332703	2250	3775.4235661029816	1176	47.73333333333334	
66.02	8.96	33.94	23.52	3	45	961	456	14	75	51	15	8	15	11	16	0	0	84.1534903049469	2300	3859.5770564079285	1201	47.78260869565217	
66.82	8.98	34.5	23.88	3	46	985	456	14	75	51	15	8	15	11	16	0	0	76.64069366455078	2350	3936.2177500724792	1222	48.0	
66.82	8.98	34.5	23.88	3	47	997	456	14	75	51	15	8	15	11	16	0	0	104.44256663322449	2400	4040.6603167057037	1254	47.75	
68.2	8.9	34.24	23.66	3	48	1016	456	14	75	51	15	8	15	11	17	0	0	85.36001706123352	2450	4126.020333766937	1280	47.755102040816325	
67.36	8.9	33.98	23.5	3	49	1035	456	14	75	51	15	8	15	11	17	0	0	88.0309898853302	2500	4214.0513236522675	1310	47.599999999999994	
67.66	8.92	35.1	24.22	3	50	1062	456	14	75	51	15	8	15	11	17	0	0	66.16597080230713	2550	4280.217294454575	1327	47.96078431372549	
