ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	first_front	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	pareto_fronts	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
1265.34	11.78	1201.44	843.74	4	0	0	9609	17	9115	6406	28	7	26	19	7	28	0	202.59997868537903	50	202.59997868537903	22	56.0	
172.26	9.594594594594595	109.21621621621621	76.86486486486487	7	1	30	586	19.0	558.0	391.0	28	7.0	25.0	18.0	7	34	0	57.269237756729126	100	259.86921644210815	36	64.0	
147.36	9.08	81.54	57.32	8	2	56	497	19	429	300	28	7	25	18	5	40	0	80.46239137649536	150	340.3316078186035	54	64.0	
161.34	9.68	82.18	57.88	8	3	77	450	19	429	300	17	7	25	18	6	45	0	105.37749934196472	200	445.70910716056824	78	61.0	
173.84	10.14	86.84	61.22	10	4	111	479	19	429	300	17	7	25	18	6	48	0	53.35997223854065	250	499.0690793991089	91	63.6	
189.88	10.62	92.9	65.78	10	5	137	479	19	429	300	12	7	25	18	6	56	0	67.58288216590881	300	566.6519615650177	107	64.33333333333333	
