ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	first_front	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	pareto_fronts	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
122.288	8.7015	120.12	81.661	5	0	0	895	11	881	597	16	7	15	11	142	0	0	905.0511403083801	2000	905.0511403083801	1996	0.20000000000000284	
136.364	8.876	106.7555	72.586	6	1	1254	871	17	859	581	13	7	15	11	67	0	0	854.0921103954315	4000	1759.1432507038116	2703	32.425	
160.342	9.1335	104.387	70.8595	7	2	2434	811	17	802	541	11	7	15	11	72	0	0	618.0003082752228	6000	2377.1435589790344	3466	42.233333333333334	
168.3	9.3175	104.5415	70.8575	7	3	3538	811	17	802	541	9	7	15	11	77	0	0	552.7960288524628	8000	2929.939587831497	4285	46.4375	
166.759	9.3395	103.789	70.2065	8	4	4535	811	17	802	541	11	7	15	11	84	0	0	951.0795621871948	10000	3881.019150018692	5208	47.919999999999995	
161.6085	9.3	95.7455	64.6295	9	5	5428	811	17	802	541	11	7	15	11	81	0	0	952.8847091197968	12000	4833.903859138489	6240	48.0	
155.198	9.113	84.9705	57.1365	9	6	6245	811	17	802	541	11	7	19	13	75	0	0	989.1384780406952	14000	5823.042337179184	7345	47.53571428571428	
149.853	8.907	73.115	49.0175	12	7	6942	811	17	1066	711	15	7	19	13	64	0	0	1012.5779452323914	16000	6835.620282411575	8569	46.443749999999994	
145.99	8.7945	65.7405	43.992	13	8	7576	801	17	1066	711	15	7	19	13	57	0	0	1024.3255968093872	18000	7859.9458792209625	9840	45.333333333333336	
141.8695	8.588	56.4285	37.652	16	9	8091	801	17	1066	711	15	7	19	13	47	0	0	1068.3005154132843	20000	8928.246394634247	11235	43.825	
140.6115	8.5015	50.476	33.5845	12	10	8590	801	17	784	534	15	7	19	13	44	0	0	1085.4693384170532	22000	10013.7157330513	12630	42.59090909090909	
138.694	8.3585	42.5305	28.1805	15	11	9083	492	17	406	269	15	7	19	13	31	0	0	1081.0367062091827	24000	11094.752439260483	14031	41.53750000000001	
141.079	8.258	39.4865	26.094	17	12	9542	492	17	406	269	15	7	20	14	20	0	0	1105.369634628296	26000	12200.122073888779	15451	40.573076923076925	
145.015	8.2595	39.5815	26.1635	18	13	9958	494	17	406	269	15	7	20	14	21	0	0	1106.4611842632294	28000	13306.583258152008	16903	39.63214285714286	
147.968	8.254	39.157	25.8815	13	14	10398	494	17	393	263	16	7	20	14	19	0	0	1069.0732126235962	30000	14375.656470775604	18358	38.806666666666665	
151.3115	8.2185	38.563	25.4645	14	15	10829	494	17	374	253	16	7	20	14	18	0	0	1067.9795269966125	32000	15443.635997772217	19793	38.146875	
154.542	8.1695	36.8435	24.3115	23	16	11255	494	17	367	253	15	7	20	14	15	0	0	1063.60333776474	34000	16507.239335536957	21229	37.561764705882354	
155.9605	8.18	37.2395	24.577	30	17	11670	494	17	367	253	14	7	20	14	17	0	0	1065.0176951885223	36000	17572.25703072548	22674	37.016666666666666	
159.6945	8.178	37.355	24.6435	32	18	12158	494	17	352	238	14	7	20	14	18	0	0	1051.2651398181915	38000	18623.52217054367	24076	36.6421052631579	
161.638	8.185	37.574	24.7925	52	19	12610	499	17	478	327	14	7	20	14	18	0	0	1052.813045501709	40000	19676.33521604538	25517	36.2075	
163.6385	8.2075	38.049	25.116	32	20	13068	499	17	478	327	11	7	20	14	18	0	0	1052.4236476421356	42000	20728.758863687515	26936	35.866666666666674	
