ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	first_front	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	pareto_fronts	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
1040.682	11.764	1012.43	693.94	9	0	0	18208	17	17848	12139	16	7	15	11	46	0	0	14913.361982345581	500	14913.361982345581	499	0.20000000000000284	
692.202	10.808	640.78	439.196	13	1	293	18208	20	17848	12139	16	7	15	11	37	0	0	1634.824359178543	1000	16548.186341524124	693	30.700000000000003	
711.516	10.494	633.644	433.862	24	2	533	18208	20	17848	12139	13	7	15	11	46	0	0	1901.775118112564	1500	18449.96145963669	924	38.4	
618.738	9.808	539.436	369.102	40	3	744	18208	20	17848	12139	8	7	15	11	47	0	0	2085.827953338623	2000	20535.78941297531	1182	40.900000000000006	
312.352	9.016	230.776	158.204	86	4	894	12676	20	12377	8451	8	7	15	11	27	0	0	2421.2993762493134	2500	22957.088789224625	1477	40.92	
143.472	8.374	64.582	44.72	173	5	1030	8031	20	7822	5354	8	7	15	11	13	0	0	2544.0303604602814	3000	25501.119149684906	1768	41.06666666666666	
117.594	8.202	43.804	30.368	38	6	1137	8031	20	7822	5354	8	7	15	11	8	0	0	2716.4507007598877	3500	28217.569850444794	2066	40.97142857142857	
93.302	8.11	24.498	17.142	34	7	1256	1354	14	1320	903	7	7	15	11	6	0	0	2719.2744636535645	4000	30936.844314098358	2361	40.974999999999994	
86.952	8.084	18.85	13.368	45	8	1371	492	14	140	94	7	7	15	11	4	0	0	2453.9259827136993	4500	33390.77029681206	2660	40.888888888888886	
83.742	8.1	19.194	13.566	66	9	1485	492	14	140	94	7	7	15	11	4	0	0	2568.5741238594055	5000	35959.34442067146	2984	40.32	
82.016	8.124	21.112	14.684	113	10	1597	492	17	144	102	7	7	15	11	5	0	0	2654.5891637802124	5500	38613.933584451675	3281	40.34545454545454	
84.154	8.154	22.71	15.602	143	11	1714	374	17	144	102	9	7	15	11	6	0	0	2604.665766954422	6000	41218.5993514061	3575	40.416666666666664	
89.462	8.196	24.11	16.432	195	12	1817	378	17	144	102	9	7	15	11	6	0	0	2717.0759661197662	6500	43935.675317525864	3877	40.35384615384615	
