ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	first_front	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	pareto_fronts	runtime_error	time_adjust	time_taken	total_inds	total_time	
129.45	8.71	127.1	86.47	5	0	0	1035	11	1021	690	16	7	15	11	15	0	0	114.4938702583313	100	114.4938702583313	
111.42	8.55	86.06	58.66	3	1	50	1035	15	1021	690	16	7	15	11	9	0	0	48.203975677490234	200	162.69784593582153	
117.45	8.59	78.17	53.18	3	2	113	1035	15	1021	690	16	7	15	11	10	0	0	35.338762283325195	300	198.03660821914673	
122.94	8.85	84.01	57.04	5	3	164	1035	16	1021	690	18	7	15	11	10	0	0	47.57824754714966	400	245.6148557662964	
120.48	8.95	84.21	57.02	6	4	214	1035	15	1021	690	14	7	19	13	13	0	0	45.33565354347229	500	290.9505093097687	
121.62	8.9	82.85	55.92	11	5	258	1035	15	1021	690	17	7	15	11	14	0	0	50.46660113334656	600	341.41711044311523	
115.38	8.73	69.33	46.51	17	6	296	1035	15	1021	690	17	7	19	13	11	0	0	56.15033531188965	700	397.5674457550049	
115.58	8.44	59.13	39.63	29	7	322	1035	14	1021	690	21	7	20	14	10	0	0	72.71365976333618	800	470.28110551834106	
122.09	8.34	57.56	38.47	35	8	350	1035	14	1021	690	21	7	20	14	9	0	0	80.97442746162415	900	551.2555329799652	
120.29	8.27	54.4	36.29	50	9	380	1035	14	1021	690	21	7	20	14	8	0	0	67.55544233322144	1000	618.8109753131866	
126.6	8.25	53.48	35.6	66	10	404	1035	14	1021	690	21	7	20	14	6	0	0	66.74394917488098	1100	685.5549244880676	
117.19	8.21	41.19	27.22	77	11	420	417	14	412	278	23	8	32	21	4	0	0	73.40427136421204	1200	758.9591958522797	
109.98	8.08	34.54	22.69	91	12	438	199	9	76	50	23	8	32	21	3	0	0	71.3643307685852	1300	830.3235266208649	
113.9	8.06	33.92	22.27	97	13	450	203	9	76	50	23	8	32	21	3	0	0	76.55456924438477	1400	906.8780958652496	
112.85	8.06	34.18	22.43	11	14	472	204	9	88	57	26	8	32	21	4	0	0	67.76212620735168	1500	974.6402220726013	
109.73	8.06	34.18	22.43	12	15	490	204	9	88	57	26	8	32	21	4	0	0	72.9499044418335	1600	1047.5901265144348	
110.15	8.06	34.18	22.43	14	16	511	204	9	88	57	26	8	32	21	4	0	0	68.9619951248169	1700	1116.5521216392517	
111.47	8.08	34.9	22.92	9	17	535	204	9	88	57	26	8	32	21	4	0	0	67.09259104728699	1800	1183.6447126865387	
108.41	8.13	36.03	23.67	11	18	554	204	10	88	57	26	8	32	21	5	0	0	74.98594856262207	1900	1258.6306612491608	
107.6	8.17	36.8	24.18	11	19	585	204	11	101	67	16	8	32	21	6	0	0	62.98274350166321	2000	1321.613404750824	
103.58	8.26	38.63	25.43	12	20	616	213	13	101	68	16	8	32	21	8	0	0	63.05989360809326	2100	1384.6732983589172	
100.08	8.27	39.01	25.7	13	21	651	213	13	101	68	16	7	20	14	8	0	0	58.391385555267334	2200	1443.0646839141846	
106.69	8.3	40.33	26.57	15	22	676	213	13	101	68	16	7	20	14	8	0	0	67.49635195732117	2300	1510.5610358715057	
109.43	8.33	41.52	27.36	16	23	709	202	14	136	92	16	7	20	14	6	0	0	60.474074602127075	2400	1571.0351104736328	
110.24	8.33	41.12	27.1	13	24	746	202	14	136	92	17	7	20	14	5	0	0	56.149819135665894	2500	1627.1849296092987	
108.56	8.39	42.81	28.22	18	25	775	202	14	136	92	17	7	20	14	6	0	0	65.41073513031006	2600	1692.5956647396088	
108.3	8.36	42.0	27.67	26	26	804	202	14	136	92	17	7	20	14	5	0	0	64.28895354270935	2700	1756.8846182823181	
108.49	8.35	42.35	27.89	31	27	831	202	14	189	126	26	7	20	14	5	0	0	65.96992182731628	2800	1822.8545401096344	
109.04	8.29	41.81	27.52	39	28	853	202	14	189	126	17	7	20	14	5	0	0	68.73329544067383	2900	1891.5878355503082	
105.32	8.29	42.14	27.75	51	29	877	207	14	189	126	17	7	20	14	5	0	0	66.0360426902771	3000	1957.6238782405853	
107.36	8.28	41.86	27.57	35	30	908	207	14	189	126	17	7	20	14	4	0	0	60.85097885131836	3100	2018.4748570919037	
111.4	8.29	42.01	27.67	44	31	933	207	14	189	126	34	7	20	14	4	0	0	68.01332998275757	3200	2086.4881870746613	
111.59	8.25	40.63	26.75	56	32	955	207	14	189	126	34	7	20	14	4	0	0	68.0919828414917	3300	2154.580169916153	
110.89	8.26	40.41	26.58	63	33	976	207	14	189	126	34	7	20	14	4	0	0	69.0313572883606	3400	2223.6115272045135	
112.04	8.28	40.92	26.91	67	34	1006	207	14	189	126	34	7	20	14	4	0	0	62.87224292755127	3500	2286.483770132065	
113.09	8.24	40.12	26.34	73	35	1034	207	14	189	126	34	8	32	21	3	0	0	64.50183773040771	3600	2350.9856078624725	
112.61	8.2	38.92	25.53	88	36	1061	207	14	136	92	37	8	32	21	4	0	0	64.4873628616333	3700	2415.472970724106	
113.76	8.14	36.57	24.01	100	37	1081	207	14	136	92	49	8	32	21	2	0	0	69.79933619499207	3800	2485.272306919098	
