ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	first_front	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	pareto_fronts	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
188.05	8.84	180.032	125.583	14	0	0	2025	11	1950	1350	27	7	25	18	28	220	0	760.6737592220306	1000	760.6737592220306	1000	0.0	
130.483	8.775	98.439	68.896	14	1	642	1462	17	1400	975	16	7	25	18	22	276	0	353.0971028804779	2000	1113.7708621025085	1348	32.599999999999994	
147.76	9.212	85.281	59.902	14	2	1193	1462	17	1400	975	16	7	25	18	19	342	0	433.652774810791	3000	1547.4236369132996	1781	40.63333333333333	
162.456	9.517	87.308	61.381	15	3	1737	1462	17	1400	975	17	7	25	18	20	410	0	382.1427981853485	4000	1929.566435098648	2222	44.45	
172.099	9.675	88.605	62.334	16	4	2278	1462	17	1400	975	14	7	25	18	21	465	0	442.5685930252075	5000	2372.1350281238556	2666	46.68	
173.114	9.716	91.362	64.305	17	5	2762	1462	17	1400	975	11	7	25	18	23	519	0	475.1805782318115	6000	2847.315606355667	3163	47.28333333333333	
168.86	9.512	88.019	61.934	20	6	3236	1462	17	1400	975	12	7	25	18	23	571	0	488.25079679489136	7000	3335.5664031505585	3673	47.52857142857143	
176.322	9.641	88.828	62.53	22	7	3669	1462	17	1400	975	12	7	25	18	23	651	0	489.81275510787964	8000	3825.379158258438	4219	47.262499999999996	
175.994	9.616	90.666	63.796	29	8	4095	1462	17	1400	975	12	7	25	18	23	723	0	469.9891505241394	9000	4295.3683087825775	4766	47.044444444444444	
179.96	9.655	91.91	64.69	22	9	4513	1462	17	1400	975	12	7	26	19	23	789	0	473.8829939365387	10000	4769.251302719116	5329	46.709999999999994	
181.317	9.583	86.331	60.799	19	10	4928	1462	17	1400	975	12	7	26	19	20	855	0	496.1660029888153	11000	5265.4173057079315	5886	46.49090909090909	
180.19	9.525	79.526	56.043	19	11	5333	1462	17	1400	975	12	7	25	18	17	916	0	508.202641248703	12000	5773.6199469566345	6459	46.175	
184.021	9.487	76.095	53.652	23	12	5704	1462	17	1400	975	12	7	25	18	15	996	0	549.317144870758	13000	6322.937091827393	7062	45.67692307692308	
185.295	9.434	73.307	51.698	30	13	6090	1462	17	1400	975	12	7	25	18	13	1061	0	558.9389917850494	14000	6881.876083612442	7659	45.292857142857144	
185.052	9.418	70.207	49.529	34	14	6466	1462	17	1400	975	12	7	25	18	12	1120	0	571.0859985351562	15000	7452.962082147598	8260	44.93333333333334	
180.806	9.297	64.181	45.298	37	15	6859	1350	17	1295	900	12	7	25	18	11	1204	0	539.3645553588867	16000	7992.326637506485	8843	44.73125	
181.792	9.275	62.538	44.128	43	16	7196	1350	17	1295	900	11	7	25	18	10	1287	0	572.4653975963593	17000	8564.792035102844	9481	44.22941176470589	
182.009	9.329	61.881	43.66	49	17	7559	1350	17	1295	900	11	7	25	18	10	1333	0	590.8892638683319	18000	9155.681298971176	10089	43.95	
178.592	9.369	62.792	44.283	53	18	7900	1350	17	1295	900	11	7	27	19	10	1402	0	567.0375916957855	19000	9722.718890666962	10721	43.573684210526324	
180.176	9.33	62.221	43.872	66	19	8266	1350	17	1295	900	11	7	27	19	10	1466	0	530.6246755123138	20000	10253.343566179276	11331	43.345	
179.457	9.329	60.561	42.73	74	20	8607	1350	17	1295	900	11	7	28	19	9	1537	0	559.0741047859192	21000	10812.417670965195	11963	43.03333333333333	
