ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	first_front	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	pareto_fronts	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
1569.88	12.02	1487.22	1046.78	4	0	0	19659	17	18723	13106	28	7	28	19	7	35	0	297.93101477622986	50	297.93101477622986	15	70.0	
74.42	9.935483870967742	63.064516129032256	44.645161290322584	6	1	32	222	16.0	213.0	148.0	28	7.0	26.0	19.0	13	38	0	115.39817476272583	100	413.3291895389557	30	70.0	
75.82	10.113636363636363	64.56818181818181	45.75	7	2	63	222	16.0	213.0	148.0	28	7.0	26.0	19.0	20	44	0	108.53170394897461	150	521.8608934879303	43	71.33333333333333	
98.24	9.78	64.28	45.48	13	3	86	230	17	213	148	20	7	26	19	27	45	0	191.4271159172058	200	713.2880094051361	69	65.5	
114.42	10.2	70.32	49.74	15	4	110	242	17	213	148	34	8	26	19	30	49	0	165.8253574371338	250	879.1133668422699	91	63.6	
118.12	10.2	64.64	45.78	19	5	124	242	17	213	148	36	8	28	20	25	54	0	238.11304187774658	300	1117.2264087200165	120	60.0	
123.1	10.02	61.74	43.86	27	6	141	242	19	235	169	49	8	29	20	17	56	0	269.1879713535309	350	1386.4143800735474	151	56.857142857142854	
123.1	10.02	60.34	42.96	33	7	160	230	19	235	169	23	8	26	19	11	58	0	233.4123408794403	400	1619.8267209529877	180	55.0	
119.22	9.86	58.22	41.42	37	8	177	230	19	235	169	23	8	26	19	7	64	0	219.6962170600891	450	1839.5229380130768	206	54.22222222222222	
114.34	9.96	57.42	40.98	42	9	195	230	19	235	169	23	8	26	19	3	69	0	197.2630124092102	500	2036.785950422287	232	53.599999999999994	
117.02	9.84	55.12	39.3	44	10	211	230	16	213	148	23	8	26	19	3	71	0	224.47031235694885	550	2261.256262779236	264	52.0	
112.44	9.7	53.32	38.02	48	11	224	230	16	213	148	23	8	26	19	3	79	0	210.08859252929688	600	2471.3448553085327	292	51.33333333333333	
111.46	9.88	56.8	40.5	50	12	236	230	19	213	148	23	8	26	19	2	81	0	259.4813539981842	650	2730.826209306717	328	49.53846153846154	
110.98	9.58	52.26	37.3	50	13	259	230	18	213	148	23	8	26	19	2	86	0	155.70763444900513	700	2886.533843755722	350	50.0	
106.66	9.72	49.9	35.7	50	14	276	230	18	213	148	23	8	26	19	2	90	0	206.84035110473633	750	3093.3741948604584	378	49.6	
103.08	9.74	50.38	36.08	50	15	285	230	18	213	148	23	7	26	19	2	93	0	270.3879692554474	800	3363.7621641159058	414	48.25000000000001	
108.18	9.68	50.24	35.92	50	16	299	230	16	213	148	23	7	26	19	2	96	0	255.5427610874176	850	3619.3049252033234	447	47.411764705882355	
109.1	9.74	50.62	36.22	50	17	312	230	16	213	148	23	7	26	19	2	96	0	262.16808915138245	900	3881.473014354706	482	46.44444444444444	
110.24	9.86	50.56	36.14	50	18	328	230	16	213	148	23	7	26	19	2	98	0	241.6691496372223	950	4123.142163991928	514	45.89473684210527	
115.76	9.94	47.98	34.32	50	19	343	235	16	213	148	48	7	26	19	2	102	0	232.83613324165344	1000	4355.9782972335815	541	45.9	
112.58	10.14	49.82	35.62	50	20	353	235	16	213	148	13	7	26	19	2	109	0	232.62633395195007	1050	4588.604631185532	574	45.333333333333336	
118.2	9.8	47.96	34.18	50	21	365	235	16	213	148	13	7	26	19	2	114	0	243.57301831245422	1100	4832.177649497986	607	44.81818181818183	
120.14	9.5	46.1	32.84	50	22	382	235	16	213	148	13	7	26	19	2	121	0	195.16712141036987	1150	5027.344770908356	633	44.95652173913044	
122.16	9.52	45.1	32.14	50	23	391	235	16	213	148	36	7	26	19	2	128	0	281.97764325141907	1200	5309.322414159775	666	44.49999999999999	
123.46	9.58	45.34	32.3	50	24	395	235	16	213	148	36	8	26	19	2	132	0	349.86563372612	1250	5659.188047885895	707	43.44	
125.86	9.42	44.86	31.9	50	25	405	235	16	213	148	36	8	26	19	2	141	0	257.2407488822937	1300	5916.4287967681885	736	43.38461538461539	
122.16	9.16	40.2	28.56	50	26	412	235	16	178	127	36	8	26	19	2	145	0	334.9924120903015	1350	6251.42120885849	771	42.888888888888886	
124.74	9.22	40.48	28.76	50	27	418	235	16	178	127	36	7	26	19	2	152	0	326.6854944229126	1400	6578.106703281403	807	42.35714285714286	
127.56	9.18	40.12	28.52	50	28	427	235	16	178	127	36	7	26	19	2	157	0	312.4138038158417	1450	6890.520507097244	843	41.86206896551724	
126.8	9.16	40.0	28.44	50	29	433	239	16	178	127	36	8	26	19	2	162	0	332.3900263309479	1500	7222.910533428192	879	41.400000000000006	
123.4	9.06	39.64	28.14	50	30	443	235	16	178	127	36	8	26	19	2	164	0	313.19890546798706	1550	7536.109438896179	916	40.903225806451616	
133.58	8.88	37.72	26.68	50	31	447	235	16	178	127	36	8	26	19	2	168	0	353.7534010410309	1600	7889.86283993721	956	40.25	
135.46	8.68	35.98	25.44	50	32	454	235	15	178	127	36	8	25	18	2	175	0	304.7662134170532	1650	8194.629053354263	990	40.0	
140.72	8.64	33.68	23.82	50	33	464	240	16	59	42	45	8	25	18	2	179	0	295.00278186798096	1700	8489.631835222244	1026	39.64705882352941	
142.5	8.72	33.82	23.92	50	34	476	240	16	59	42	45	7	25	18	2	179	0	323.2361822128296	1750	8812.868017435074	1063	39.25714285714286	
144.8	8.76	34.36	24.32	50	35	485	240	16	59	42	45	8	25	18	2	184	0	298.21911883354187	1800	9111.087136268616	1099	38.94444444444445	
146.02	8.96	38.46	27.34	50	36	490	262	16	200	144	45	8	25	18	2	186	0	341.7448170185089	1850	9452.831953287125	1140	38.37837837837837	
130.6	8.94	37.9	26.94	50	37	502	240	16	200	144	45	8	25	18	2	192	0	261.8587017059326	1900	9714.690654993057	1172	38.31578947368421	
123.84	8.68	36.92	26.2	50	38	508	235	15	200	144	45	7	25	18	2	194	0	332.81907057762146	1950	10047.509725570679	1212	37.846153846153854	
123.56	8.72	36.86	26.26	50	39	514	235	15	200	144	45	7	25	18	2	194	0	327.30689883232117	2000	10374.816624403	1254	37.3	
125.14	8.7	36.4	25.94	50	40	523	235	15	200	144	45	8	25	18	2	196	0	285.2614777088165	2050	10660.078102111816	1290	37.073170731707314	
126.1	8.6	33.34	23.74	50	41	538	244	12	55	40	45	8	25	18	2	201	0	222.39964604377747	2100	10882.477748155594	1317	37.28571428571429	
126.56	8.66	34.16	24.4	50	42	545	244	12	103	74	45	8	25	18	2	203	0	313.88656067848206	2150	11196.364308834076	1354	37.02325581395349	
123.34	8.64	33.6	24.04	50	43	552	244	12	103	74	45	8	25	18	2	206	0	300.27390122413635	2200	11496.638210058212	1393	36.68181818181818	
120.72	8.72	34.1	24.38	50	44	560	244	12	103	74	45	8	25	18	2	208	0	273.92337107658386	2250	11770.561581134796	1431	36.4	
112.64	8.64	31.64	22.68	50	45	565	244	12	49	36	45	8	25	18	2	211	0	287.8791046142578	2300	12058.440685749054	1471	36.04347826086956	
101.1	8.64	31.38	22.5	50	46	576	244	14	60	44	50	8	25	18	2	213	0	255.75358510017395	2350	12314.194270849228	1507	35.87234042553192	
104.2	8.94	34.72	24.94	50	47	581	244	19	181	131	50	8	25	18	2	215	0	298.5117347240448	2400	12612.706005573273	1549	35.45833333333334	
102.82	8.78	33.74	24.18	50	48	587	244	19	181	131	50	8	25	18	2	216	0	295.65243196487427	2450	12908.358437538147	1589	35.14285714285714	
105.66	8.84	38.02	27.26	50	49	605	244	19	260	185	50	8	25	18	2	217	0	216.89627742767334	2500	13125.25471496582	1620	35.2	
106.24	8.7	35.02	25.1	50	50	613	244	14	260	185	50	8	25	18	2	219	0	274.1270158290863	2550	13399.381730794907	1660	34.90196078431373	
105.58	8.58	34.64	24.82	50	51	620	244	14	260	185	50	8	25	18	2	219	0	294.39491605758667	2600	13693.776646852493	1699	34.65384615384616	
105.16	8.58	34.46	24.78	50	52	627	244	14	260	185	50	8	25	18	2	223	0	267.1616539955139	2650	13960.938300848007	1735	34.52830188679246	
104.18	8.58	34.46	24.78	50	53	636	244	14	260	185	50	8	25	18	2	228	0	267.738343000412	2700	14228.67664384842	1770	34.44444444444444	
110.6	8.54	34.1	24.44	50	54	648	244	14	260	185	50	8	25	18	2	229	0	262.1680462360382	2750	14490.844690084457	1805	34.36363636363636	
115.22	8.66	34.7	24.86	50	55	658	244	14	260	185	50	8	25	18	2	233	0	280.2856476306915	2800	14771.130337715149	1839	34.32142857142857	
112.5	8.66	34.9	24.96	50	56	667	244	14	260	185	50	8	25	18	2	235	0	304.55541491508484	2850	15075.685752630234	1877	34.140350877192986	
115.3	8.7	35.18	25.2	50	57	678	244	14	260	185	50	8	25	18	2	238	0	284.3327534198761	2900	15360.01850605011	1912	34.06896551724138	
114.48	8.74	35.18	25.2	50	58	692	244	14	260	185	50	8	25	18	2	241	0	265.7791588306427	2950	15625.797664880753	1943	34.135593220338976	
111.88	8.62	34.54	24.76	50	59	700	255	14	260	185	50	8	25	18	2	243	0	320.1126697063446	3000	15945.910334587097	1982	33.93333333333334	
105.12	8.56	34.84	24.94	50	60	713	255	14	260	185	60	8	25	18	2	245	0	266.5776047706604	3050	16212.487939357758	2015	33.93442622950819	
105.12	8.56	34.84	24.94	50	60	713	255	14	260	185	60	8	25	18	2	245	0	266.5776047706604	3050	16212.487939357758	2015	33.93442622950819	
