ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	first_front	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	pareto_fronts	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
1799.996	12.818	1716.404	1200.164	3	0	0	51652	18	49454	34435	25	7	24	17	33	326	0	3480.247393846512	500	3480.247393846512	174	65.2	
140.924	9.909090909090908	97.72121212121212	68.49090909090908	1	1	322	936	18.0	896.0	624.0	18	7.0	24.0	17.0	48	372	0	452.0975818634033	1000	3932.344975709915	300	70.0	
144.292	9.538934426229508	78.77049180327869	55.21516393442623	3	2	599	936	18.0	896.0	624.0	15	7.0	24.0	17.0	62	405	0	632.5079455375671	1500	4564.852921247482	482	67.86666666666667	
148.656	9.35	66.522	46.666	1	3	863	936	18	896	624	15	7	24	17	48	448	0	652.0685501098633	2000	5216.921471357346	665	66.75	
153.258	9.448	68.442	48.018	1	4	1087	936	18	896	624	12	7	24	17	57	479	0	779.1077764034271	2500	5996.029247760773	900	64.0	
156.65	9.504	69.63	48.83	1	5	1283	936	18	896	624	11	7	24	17	64	520	0	762.1493449211121	3000	6758.178592681885	1152	61.6	
