ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	first_front	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	pareto_fronts	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
1060.84	11.98	1005.88	707.36	6	0	0	10207	17	9679	6805	30	7	29	20	9	30	0	361.5765960216522	50	361.5765960216522	50	0.0	
122.3	9.45	104.8	73.7	7	1	27	1227	14.0	1173.0	818.0	30	7.0	26.0	19.0	10	34	0	45.664331674575806	100	407.240927696228	73	27.0	
158.8	9.9	93.32	65.88	7	2	49	1227	15	1173	818	30	7	25	18	13	38	0	51.42204523086548	150	458.6629729270935	101	32.66666666666667	
169.96	9.72	95.24	67.14	12	3	64	1227	15	1173	818	30	7	26	19	11	42	0	56.605612993240356	200	515.2685859203339	136	32.0	
163.84	9.54	85.96	60.7	18	4	82	1227	15	1173	818	30	7	26	19	8	47	0	55.12083578109741	250	570.3894217014313	167	33.2	
166.04	9.42	87.24	61.6	21	5	97	1227	14	1173	818	24	7	26	19	7	50	0	60.78678798675537	300	631.1762096881866	202	32.66666666666667	
164.9	9.64	81.88	57.98	29	6	115	1227	14	1173	818	27	7	26	19	5	53	0	54.28900957107544	350	685.4652192592621	233	33.42857142857143	
141.84	9.6	55.24	39.38	33	7	139	312	14	236	165	27	7	26	19	5	57	0	52.05555295944214	400	737.5207722187042	259	35.25	
144.54	9.54	53.68	38.3	24	8	150	312	14	236	165	27	7	26	19	4	63	0	57.54354810714722	450	795.0643203258514	296	34.222222222222214	
155.68	10.02	56.82	40.68	25	9	172	312	16	238	169	27	8	26	19	3	66	0	58.2288384437561	500	853.2931587696075	324	35.2	
161.84	10.14	53.24	38.1	25	10	187	312	15	219	154	27	8	25	18	4	68	0	60.2162139415741	550	913.5093727111816	359	34.727272727272734	
157.84	10.12	52.64	37.7	30	11	200	312	15	219	154	27	8	25	18	3	73	0	58.43242835998535	600	971.941801071167	396	34.0	
153.38	10.22	52.66	37.74	35	12	218	312	15	219	154	27	8	25	18	3	76	0	60.201889753341675	650	1032.1436908245087	428	34.15384615384616	
155.24	10.26	50.54	36.24	37	13	236	295	15	168	119	35	8	25	18	3	79	0	51.781898975372314	700	1083.925589799881	460	34.28571428571429	
152.18	10.34	49.96	35.9	40	14	252	295	15	168	119	35	8	25	18	3	84	0	52.78781008720398	750	1136.713399887085	492	34.39999999999999	
160.86	10.5	51.46	37.0	42	15	267	295	15	168	119	35	8	26	19	3	92	0	56.123453855514526	800	1192.8368537425995	526	34.25	
144.38	10.36	48.74	35.02	45	16	283	295	15	168	119	35	8	26	19	4	97	0	54.45022010803223	850	1247.2870738506317	560	34.117647058823536	
143.72	10.42	49.02	35.24	48	17	295	295	15	168	119	35	8	26	19	3	103	0	56.055107831954956	900	1303.3421816825867	597	33.66666666666667	
143.94	10.4	49.78	35.74	49	18	316	295	15	168	119	35	8	26	19	3	108	0	54.467249155044556	950	1357.8094308376312	626	34.10526315789474	
141.94	10.36	48.08	34.56	50	19	337	295	15	168	119	35	8	26	19	2	113	0	52.63079857826233	1000	1410.4402294158936	654	34.599999999999994	
150.18	10.42	48.98	35.18	50	20	358	295	15	168	119	35	8	26	19	2	118	0	51.74198842048645	1050	1462.18221783638	683	34.95238095238096	
142.48	10.24	45.72	32.9	50	21	373	295	15	168	119	35	8	25	18	2	120	0	61.170586347579956	1100	1523.35280418396	716	34.90909090909091	
145.42	10.14	47.72	34.24	19	22	384	295	15	168	119	35	8	25	18	3	127	0	57.74486231803894	1150	1581.097666501999	755	34.34782608695653	
145.42	10.14	47.72	34.24	19	23	411	295	15	168	119	35	8	25	18	3	131	0	47.08114790916443	1200	1628.1788144111633	778	35.16666666666667	
139.76	10.1	46.92	33.66	23	24	428	295	15	168	119	35	7	25	18	3	134	0	59.04974913597107	1250	1687.2285635471344	811	35.11999999999999	
141.74	9.94	47.24	33.82	25	25	445	295	15	168	119	35	7	25	18	3	138	0	55.2581524848938	1300	1742.4867160320282	844	35.076923076923066	
140.82	9.72	48.14	34.4	26	26	463	295	15	168	119	35	7	25	18	3	138	0	58.743484020233154	1350	1801.2302000522614	876	35.111111111111114	
135.4	9.84	47.96	34.26	28	27	487	295	15	168	119	30	7	25	18	3	140	0	51.8118314743042	1400	1853.0420315265656	901	35.64285714285714	
138.42	9.92	48.84	34.82	23	28	507	295	15	168	119	35	7	25	18	3	142	0	57.47207570075989	1450	1910.5141072273254	930	35.86206896551725	
143.18	9.98	50.54	35.96	23	29	526	295	15	168	119	35	7	26	19	3	147	0	50.88898324966431	1500	1961.4030904769897	961	35.93333333333332	
135.58	10.02	52.56	37.28	29	30	548	290	15	168	119	35	7	25	18	3	150	0	55.123175859451294	1550	2016.526266336441	988	36.25806451612903	
130.3	9.86	51.82	36.74	31	31	563	290	15	168	119	35	7	25	18	3	155	0	52.43578505516052	1600	2068.9620513916016	1021	36.18749999999999	
120.08	9.8	52.22	37.02	34	32	579	290	15	168	119	35	7	25	18	3	158	0	57.199564933776855	1650	2126.1616163253784	1054	36.12121212121212	
119.46	9.72	51.46	36.5	34	33	599	290	15	168	119	35	7	29	20	3	160	0	59.43135142326355	1700	2185.592967748642	1084	36.23529411764706	
120.86	9.74	52.04	36.92	35	34	620	290	15	168	119	35	7	29	20	3	162	0	56.193145990371704	1750	2241.7861137390137	1113	36.4	
117.34	9.8	51.82	36.78	37	35	638	290	15	168	119	35	7	29	20	3	166	0	54.570444107055664	1800	2296.3565578460693	1145	36.38888888888889	
114.6	9.7	49.86	35.36	43	36	656	290	15	117	82	35	7	29	20	3	168	0	54.69714570045471	1850	2351.053703546524	1176	36.432432432432435	
117.26	9.6	49.18	34.88	44	37	674	290	14	117	82	35	7	29	20	3	170	0	54.075406312942505	1900	2405.1291098594666	1207	36.473684210526315	
113.16	9.5	48.76	34.56	44	38	695	290	14	117	82	35	7	29	20	3	175	0	57.90739727020264	1950	2463.036507129669	1236	36.61538461538461	
119.46	9.6	49.1	34.82	47	39	718	290	14	117	82	35	7	29	20	3	178	0	49.97711777687073	2000	2513.01362490654	1263	36.85000000000001	
120.62	9.66	49.86	35.36	48	40	738	290	14	117	82	35	7	29	20	3	184	0	61.31790018081665	2050	2574.3315250873566	1292	36.97560975609756	
116.98	9.72	50.8	36.06	50	41	756	268	14	117	82	35	7	29	20	2	186	0	56.25210237503052	2100	2630.583627462387	1324	36.95238095238095	
126.02	10.06	53.12	37.84	44	42	777	268	14	117	82	35	7	29	20	3	188	0	60.123886585235596	2150	2690.7075140476227	1353	37.06976744186047	
134.56	10.22	54.4	38.74	45	43	794	284	14	117	82	35	7	29	20	3	193	0	57.853578329086304	2200	2748.561092376709	1386	37.0	
134.54	10.24	56.02	39.86	50	44	816	285	14	140	99	35	8	29	20	2	195	0	55.74846816062927	2250	2804.3095605373383	1414	37.15555555555555	
140.84	10.24	55.8	39.72	50	45	833	285	14	140	99	35	8	29	20	2	199	0	57.534040451049805	2300	2861.843600988388	1447	37.08695652173913	
