ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	first_front	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	pareto_fronts	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
1409.87	11.68	1378.45	940.08	1	0	0	15685	17	15366	10457	16	7	15	11	32	0	0	1475.3518507480621	100	1475.3518507480621	100	0.0	
779.76	10.84	750.31	511.61	1	1	79	11251	17	11054	7501	16	7	15	11	20	0	0	62.291759729385376	200	1537.6436104774475	121	39.5	
554.14	10.3	520.94	355.4	1	2	138	8542	17	8365	5695	16	7	15	11	22	0	0	118.57089376449585	300	1656.2145042419434	162	46.0	
205.4	9.37	176.93	120.14	2	3	190	3711	17	3642	2474	16	7	15	11	19	0	0	132.982572555542	400	1789.1970767974854	209	47.75	
177.39	9.16	153.11	103.7	2	4	230	3711	17	3642	2474	16	7	15	11	19	0	0	167.87083673477173	500	1957.067913532257	268	46.4	
161.33	9.12	134.95	91.34	1	5	280	3711	17	3642	2474	21	7	15	11	20	0	0	142.5954601764679	600	2099.663373708725	315	47.5	
112.7	9.03	89.13	60.22	1	6	334	1552	17	1526	1035	20	7	19	13	19	0	0	129.60551500320435	700	2229.2688887119293	360	48.57142857142858	
96.13	8.82	66.4	44.71	1	7	376	1254	17	1235	836	17	7	19	13	19	0	0	149.6504192352295	800	2378.919307947159	417	47.875	
91.55	8.73	62.65	42.15	2	8	416	1254	17	1235	836	18	7	19	13	21	0	0	156.7402045726776	900	2535.6595125198364	476	47.111111111111114	
85.64	8.73	60.47	40.72	3	9	453	1254	17	1235	836	18	7	15	11	21	0	0	158.69431805610657	1000	2694.353830575943	539	46.099999999999994	
80.41	8.75	55.76	37.57	3	10	489	1254	17	1235	836	14	7	15	11	21	0	0	159.16512084007263	1100	2853.5189514160156	600	45.45454545454546	
80.15	8.73	55.54	37.43	3	11	532	1254	17	1235	836	14	7	15	11	21	0	0	145.22493052482605	1200	2998.7438819408417	655	45.41666666666667	
