ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
0.5023726659666119	78.72	8.2	77.5	52.62	0.6118963750719826	0	0	435	10	433	290	16	7	15	11	0	0	149.33161044120789	50	149.33161044120789	50	0.0	
0.5080325106235013	73.56	9.263157894736842	43.78947368421053	30.210526315789473	0.6118963750719826	1	32	298	15.0	191.0	132.0	15	7.0	15.0	11.0	0	0	47.047319173812866	100	196.37892961502075	63	37.0	
0.4964329291165644	124.8	9.46875	46.53125	31.96875	0.6118963750719826	2	51	316	12.0	129.0	89.0	10	8.0	15.0	11.0	0	0	79.07948184013367	150	275.4584114551544	88	41.333333333333336	
0.49649886759783235	123.28	9.75	52.416666666666664	35.888888888888886	0.6118963750719826	3	66	309	14.0	134.0	91.0	9	8.0	15.0	11.0	0	0	92.99990892410278	200	368.4583203792572	116	42.00000000000001	
0.5000013286753914	100.06	8.945945945945946	33.13513513513514	22.756756756756758	0.6118963750719826	4	80	269	16.0	103.0	69.0	19	8.0	15.0	11.0	0	0	87.38094973564148	250	455.8392701148987	143	42.800000000000004	
0.5072602628560046	98.78	9.186046511627907	34.27906976744186	23.651162790697676	0.6118963750719826	5	88	269	16.0	103.0	69.0	19	8.0	15.0	11.0	0	0	101.92790460586548	300	557.7671747207642	171	43.00000000000001	
0.5007365824930607	98.28	9.268292682926829	32.19512195121951	22.341463414634145	0.6305115874691346	6	98	222	16.0	105.0	71.0	7	7.0	15.0	11.0	0	0	98.0981776714325	350	655.8653523921967	208	40.57142857142857	
0.5119470192394433	96.94	9.921052631578947	31.05263157894737	21.86842105263158	0.6305115874691346	7	111	199	16.0	59.0	40.0	4	7.0	15.0	11.0	0	0	89.56284952163696	400	745.4282019138336	234	41.5	
0.5125568324402608	90.26	9.465116279069768	35.06976744186046	24.325581395348838	0.6305115874691346	8	119	204	16.0	300.0	200.0	20	7.0	15.0	11.0	0	0	103.12074756622314	450	848.5489494800568	269	40.22222222222223	
0.508265912362592	92.88	9.020408163265307	30.081632653061224	20.959183673469386	0.6305115874691346	9	121	198	16.0	233.0	154.0	19	7.0	15.0	11.0	0	0	122.69373536109924	500	971.242684841156	300	40.0	
0.5019635734862284	91.1	8.818181818181818	38.15909090909091	26.022727272727273	0.6305115874691346	10	128	188	15.0	276.0	182.0	21	7.0	15.0	11.0	0	0	107.79285454750061	550	1079.0355393886566	336	38.90909090909091	
0.49211350078899835	70.62	8.348837209302326	24.74418604651163	17.186046511627907	0.6305115874691346	11	136	158	16.0	58.0	42.0	11	7.0	15.0	11.0	0	0	98.2065978050232	600	1177.2421371936798	374	37.66666666666667	
0.5106439641133921	67.9	7.94	23.56	16.14	0.6305115874691346	12	136	149	10	32	21	14	7	15	11	0	0	117.9779040813446	650	1295.2200412750244	408	37.23076923076923	
0.5068656167455993	78.24	8.127659574468085	25.5531914893617	17.46808510638298	0.6314690041588393	13	140	155	12.0	35.0	25.0	14	7.0	15.0	11.0	0	0	107.54226636886597	700	1402.7623076438904	436	37.71428571428571	
0.510691429219213	68.32	8.333333333333334	28.533333333333335	19.533333333333335	0.6411300113659848	14	146	152	12.0	100.0	69.0	15	7.0	15.0	11.0	0	0	105.77198934555054	750	1508.534296989441	475	36.66666666666667	
0.5005512942055149	68.48	8.318181818181818	30.295454545454547	20.84090909090909	0.6411300113659848	15	153	166	14.0	100.0	69.0	1	7.0	15.0	11.0	0	0	104.37105131149292	800	1612.9053483009338	507	36.625	
0.5020872812659142	69.02	8.4375	29.291666666666668	20.3125	0.6411300113659848	16	156	150	11.0	117.0	79.0	20	7.0	15.0	11.0	0	0	114.32032918930054	850	1727.2256774902344	539	36.588235294117645	
0.5010500179568242	66.7	8.434782608695652	28.41304347826087	19.717391304347824	0.6411300113659848	17	161	140	11.0	100.0	69.0	11	7.0	15.0	11.0	0	0	106.8669068813324	900	1834.0925843715668	568	36.88888888888889	
0.5029465515987207	62.02	8.466666666666667	27.8	19.133333333333333	0.6411300113659848	18	167	115	12.0	111.0	75.0	16	7.0	15.0	11.0	0	0	103.32807207107544	950	1937.4206564426422	606	36.21052631578947	
0.5047417688682728	62.68	8.177777777777777	25.08888888888889	17.333333333333332	0.6411300113659848	19	173	108	12.0	37.0	27.0	18	7.0	15.0	11.0	0	0	106.12025547027588	1000	2043.540911912918	644	35.599999999999994	
0.5042451651105038	74.68	8.224489795918368	28.306122448979593	19.346938775510203	0.6541686634549904	20	175	118	12.0	75.0	49.0	10	7.0	15.0	11.0	0	0	112.9705867767334	1050	2156.5114986896515	684	34.85714285714285	
0.49825580900680483	81.32	8.382978723404255	26.29787234042553	18.19148936170213	0.6541686634549904	21	179	128	12.0	49.0	33.0	15	7.0	15.0	11.0	0	0	106.53139591217041	1100	2263.042894601822	717	34.81818181818181	
0.5026910516352354	80.56	8.44186046511628	27.069767441860463	18.767441860465116	0.6541686634549904	22	187	133	12.0	50.0	34.0	13	7.0	15.0	11.0	0	0	97.74799585342407	1150	2360.790890455246	752	34.60869565217392	
0.507761601714552	80.92	8.847826086956522	34.80434782608695	23.97826086956522	0.6541686634549904	23	192	137	16.0	231.0	156.0	12	7.0	15.0	11.0	0	0	109.33622169494629	1200	2470.1271121501923	784	34.66666666666667	
