ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-0.003978449831378547	1757.82	11.94	1714.42	1172.02	0.032351530072113124	0	0	21520	17	21087	14347	19	7	19	13	14	0	990.142359495163	50	990.142359495163	36	28.0	
-0.006957231901215224	280.82	10.68	155.68	107.4	0.032351530072113124	1	26	2601	18.0	2533.0	1734.0	7	8.0	21.0	15.0	23	0	73.18947410583496	100	1063.331833600998	51	49.0	
-0.0015350496271090534	250.82	11.1	141.66666666666666	97.53333333333333	0.032351530072113124	2	47	2601	18.0	2533.0	1734.0	7	8.0	15.0	11.0	35	0	87.31102871894836	150	1150.6428623199463	68	54.66666666666667	
-0.0028266774384269346	298.86	9.5625	120.1875	82.34375	0.03252064184850091	3	65	2601	16.0	2533.0	1734.0	1	8.0	19.0	13.0	48	0	92.43825030326843	200	1243.0811126232147	86	57.0	
-0.0037817124419228477	269.66	8.6	29.65714285714286	20.228571428571428	0.03252064184850091	4	81	476	14.0	55.0	39.0	20	8.0	15.0	11.0	63	0	89.16214442253113	250	1332.2432570457458	105	58.0	
-0.004868065375506859	267.9	8.710526315789474	35.68421052631579	24.18421052631579	0.03252064184850091	5	93	459	15.0	141.0	94.0	13	7.0	15.0	11.0	74	0	108.39696431159973	300	1440.6402213573456	132	56.0	
-0.007923957657684859	237.02	9.24390243902439	45.68292682926829	31.24390243902439	0.03252064184850091	6	103	447	20.0	203.0	142.0	20	8.0	15.0	11.0	86	0	109.25686597824097	350	1549.8970873355865	158	54.85714285714286	
-0.005979030086809935	225.2	8.945945945945946	41.54054054054054	28.243243243243242	0.03252064184850091	7	116	482	20.0	213.0	144.0	5	7.0	15.0	11.0	95	0	104.18637180328369	400	1654.0834591388702	186	53.5	
-0.008657732653453232	249.54	9.023255813953488	35.883720930232556	24.558139534883722	0.03252064184850091	8	123	493	20.0	150.0	107.0	10	8.0	15.0	11.0	112	0	119.19391679763794	450	1773.2773759365082	211	53.11111111111111	
-0.006642894281178395	294.88	8.953488372093023	38.83720930232558	26.372093023255815	0.03252064184850091	9	130	489	18.0	148.0	101.0	39	8.0	15.0	11.0	128	0	120.10322141647339	500	1893.3805973529816	234	53.199999999999996	
-0.004622101001741263	318.74	8.976190476190476	35.642857142857146	24.214285714285715	0.033775842466578894	10	139	492	14.0	88.0	61.0	36	8.0	15.0	11.0	141	0	116.56102061271667	550	2009.9416179656982	261	52.54545454545455	
