ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	first_front	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	pareto_fronts	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
769.03	11.84	746.19	512.83	12	0	0	8620	17	8382	5747	16	7	15	11	26	0	0	874.5650203227997	100	874.5650203227997	100	0.0	
786.14	11.52	743.29	510.19	16	1	58	8620	17	8382	5747	16	7	15	11	26	0	0	150.36289811134338	200	1024.927918434143	142	29.0	
244.2	9.8	198.01	136.22	20	2	102	3124	17	3001	2083	14	7	15	11	13	0	0	178.74649262428284	300	1203.674411058426	191	36.33333333333333	
144.39	9.27	91.18	62.81	22	3	153	961	18	939	641	14	7	15	11	8	0	0	159.27366638183594	400	1362.9480774402618	233	41.75	
132.26	9.36	83.3	57.44	24	4	194	961	18	939	641	11	8	15	11	6	0	0	197.98726296424866	500	1560.9353404045105	286	42.800000000000004	
118.83	9.2	71.25	49.06	17	5	226	961	18	939	641	11	8	15	11	6	0	0	217.78866815567017	600	1778.7240085601807	348	42.00000000000001	
109.13	9.14	62.68	43.03	21	6	264	961	18	939	641	11	8	15	11	5	0	0	195.53721618652344	700	1974.261224746704	404	42.285714285714285	
118.24	9.16	61.43	42.24	21	7	303	961	18	939	641	11	8	15	11	5	0	0	203.26219058036804	800	2177.523415327072	465	41.87499999999999	
125.07	9.06	59.63	40.98	18	8	332	961	18	939	641	13	8	15	11	5	0	0	226.78949189186096	900	2404.312907218933	533	40.77777777777778	
121.06	9.13	60.19	41.39	18	9	363	961	18	939	641	14	8	15	11	5	0	0	231.5432586669922	1000	2635.8561658859253	595	40.5	
121.57	9.13	59.18	40.73	20	10	391	961	18	939	641	14	8	15	11	5	0	0	226.7160623073578	1100	2862.572228193283	659	40.090909090909086	
125.35	9.1	59.16	40.67	22	11	411	961	18	939	641	14	8	15	11	5	0	0	243.37170433998108	1200	3105.943932533264	733	38.916666666666664	
131.66	9.2	62.47	42.86	22	12	443	961	18	939	641	14	8	15	11	5	0	0	208.7723844051361	1300	3314.7163169384003	796	38.76923076923077	
137.36	9.02	60.11	41.26	22	13	467	961	18	939	641	14	7	15	11	5	0	0	232.42706084251404	1400	3547.1433777809143	864	38.28571428571429	
122.65	8.89	51.6	35.43	23	14	496	961	18	939	641	14	7	15	11	4	0	0	220.7184455394745	1500	3767.861823320389	928	38.13333333333333	
119.35	8.85	51.99	35.67	24	15	532	961	18	939	641	14	7	15	11	4	0	0	199.15453577041626	1600	3967.016359090805	987	38.31250000000001	
118.55	8.83	51.49	35.37	24	16	570	961	18	939	641	14	7	15	11	4	0	0	192.56722807884216	1700	4159.583587169647	1040	38.8235294117647	
120.14	8.75	50.35	34.62	24	17	600	961	18	939	641	14	7	15	11	4	0	0	215.88537120819092	1800	4375.468958377838	1099	38.94444444444445	
109.12	8.66	48.62	33.34	25	18	637	961	18	939	641	14	7	15	11	4	0	0	193.35910820960999	1900	4568.828066587448	1150	39.473684210526315	
102.36	8.63	48.35	33.14	25	19	663	961	18	939	641	14	7	15	11	4	0	0	229.7092523574829	2000	4798.537318944931	1216	39.2	
100.85	8.62	48.09	32.96	25	20	692	961	18	939	641	14	7	15	11	4	0	0	216.32886052131653	2100	5014.866179466248	1278	39.142857142857146	
