ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	first_front	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	pareto_fronts	runtime_error	time_adjust	time_taken	total_inds	total_time	
124.081	8.671	121.798	82.863	6	0	0	1069	11	1054	713	16	7	15	11	174	0	0	1467.1700372695923	1000	1467.1700372695923	
129.073	8.759	98.231	66.857	7	1	614	1069	17	1054	713	16	7	15	11	46	0	0	504.44605135917664	2000	1971.616088628769	
150.942	8.984	91.363	62.204	6	2	1172	1069	17	1054	713	12	7	15	11	50	0	0	566.2039127349854	3000	2537.8200013637543	
158.065	9.148	92.34	62.777	6	3	1652	1069	17	1054	713	9	7	15	11	55	0	0	682.8274509906769	4000	3220.647452354431	
163.293	9.222	94.735	64.331	7	4	2144	1069	17	1054	713	12	7	15	11	62	0	0	641.673887014389	5000	3862.32133936882	
163.832	9.263	97.245	65.957	7	5	2612	1069	17	1054	713	12	7	15	11	78	0	0	686.7268466949463	6000	4549.0481860637665	
