ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	first_front	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	pareto_fronts	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
4547.676	14.802	4354.84	3031.958	3	0	0	24894	17	23886	16596	25	7	24	17	18	366	0	510.9977493286133	500	510.9977493286133	134	73.2	
62.99	9.335680751173708	48.598591549295776	34.152582159624416	4	1	180	2116	17.0	2033.0	1411.0	12	7.0	24.0	17.0	36	409	0	773.5798468589783	1000	1284.5775961875916	394	60.6	
63.322	9.004	42.908	30.142	2	2	363	2116	17	2033	1411	8	7	24	17	30	430	0	812.5996325016022	1500	2097.1772286891937	679	54.733333333333334	
63.458	9.09	44.788	31.486	2	3	530	2116	17	2033	1411	9	7	24	17	38	459	0	833.4790425300598	2000	2930.6562712192535	964	51.800000000000004	
65.388	8.866	44.416	31.164	3	4	691	2116	17	2033	1411	9	7	24	17	45	485	0	853.7586297988892	2500	3784.4149010181427	1262	49.519999999999996	
66.354	8.9	46.438	32.568	7	5	834	2116	17	2033	1411	9	7	24	17	58	521	0	878.7310647964478	3000	4663.14596581459	1563	47.9	
65.678	8.824	41.288	29.014	6	6	992	310	17	296	207	9	7	24	17	70	564	0	823.7928445339203	3500	5486.938810348511	1845	47.285714285714285	
67.848	8.742	39.654	27.878	7	7	1110	278	17	245	172	9	7	24	17	68	600	0	945.008514881134	4000	6431.947325229645	2172	45.699999999999996	
65.806	8.41	36.454	25.614	9	8	1232	260	17	245	172	9	7	24	17	52	635	0	938.1862554550171	4500	7370.133580684662	2492	44.62222222222222	
64.702	8.152	34.576	24.274	7	9	1339	275	17	245	172	9	7	24	17	42	663	0	1003.2338604927063	5000	8373.367441177368	2841	43.17999999999999	
68.504	8.0	33.81	23.72	4	10	1464	275	16	245	172	12	7	24	17	44	688	0	957.5928208827972	5500	9330.960262060165	3170	42.36363636363636	
69.988	7.814	32.056	22.486	5	11	1551	275	16	245	172	12	7	24	17	38	726	0	1038.6014330387115	6000	10369.561695098877	3527	41.21666666666667	
72.082	7.722	31.736	22.236	5	12	1651	275	16	245	172	12	7	24	17	38	761	0	996.570319890976	6500	11366.132014989853	3872	40.43076923076923	
72.908	7.564	30.7	21.5	10	13	1756	256	16	245	172	18	7	24	17	33	790	0	997.9504768848419	7000	12364.082491874695	4213	39.81428571428572	
73.506	7.494	29.648	20.76	16	14	1877	256	16	225	158	17	7	24	17	30	823	0	943.9161319732666	7500	13307.998623847961	4537	39.50666666666667	
74.9	7.376	28.578	20.006	16	15	1969	258	15	134	95	17	7	24	17	25	851	0	1033.9932115077972	8000	14341.991835355759	4896	38.800000000000004	
73.19	7.314	28.298	19.82	16	16	2062	265	14	134	95	17	7	24	17	21	882	0	1026.8504734039307	8500	15368.84230875969	5250	38.23529411764706	
76.174	7.246	27.952	19.588	20	17	2148	265	13	134	95	17	7	24	17	17	908	0	1059.2837109565735	9000	16428.126019716263	5620	37.55555555555555	
