ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	first_front	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	pareto_fronts	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
1460.756	11.848	1385.668	974.018	12	0	0	31131	17	29600	20754	27	7	25	18	51	286	0	3923.6607563495636	500	3923.6607563495636	214	57.2	
130.642	9.72680412371134	101.06443298969072	71.19587628865979	17	1	299	1452	20.0	1378.0	968.0	20	7.0	25.0	18.0	72	324	0	1387.5537354946136	1000	5311.214491844177	373	62.7	
136.872	9.562	87.55	61.648	3	2	562	1452	20	1378	968	20	7	25	18	99	363	0	1513.5720150470734	1500	6824.786506891251	561	62.6	
145.14	9.648	90.586	63.818	4	3	832	1452	20	1378	968	17	7	25	18	124	398	0	1422.434653043747	2000	8247.221159934998	748	62.6	
146.198	9.702	90.688	63.908	6	4	1040	1452	20	1378	968	15	7	25	18	93	439	0	1796.660296678543	2500	10043.88145661354	988	60.480000000000004	
138.264	9.734	79.34	56.06	6	5	1243	1452	20	1378	968	15	7	25	18	44	471	0	1890.54572224617	3000	11934.42717885971	1242	58.6	
133.542	9.522	63.684	45.12	11	6	1414	1452	19	1378	968	15	7	25	18	24	515	0	2168.556584596634	3500	14102.983763456345	1518	56.628571428571426	
