ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	first_front	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	pareto_fronts	runtime_error	time_adjust	time_taken	total_inds	total_time	
146.2	8.7	143.8	97.58	1	0	0	844	11	829	563	19	7	19	13	18	0	0	65.99243307113647	50	65.99243307113647	
150.2	8.82	138.0	93.72	2	1	35	844	15	829	563	20	7	15	11	12	0	0	17.135886192321777	100	83.12831926345825	
142.4	8.58	104.04	70.52	2	2	72	844	15	829	563	16	7	15	11	10	0	0	14.565633773803711	150	97.69395303726196	
134.6	8.5	83.3	56.44	2	3	103	844	15	829	563	16	7	15	11	9	0	0	19.994856357574463	200	117.68880939483643	
153.28	9.04	93.54	63.32	3	4	125	844	15	829	563	14	7	15	11	11	0	0	30.39249873161316	250	148.08130812644958	
144.4	9.0	94.06	63.58	3	5	163	844	15	829	563	14	7	15	11	11	0	0	13.443707942962646	300	161.52501606941223	
161.98	9.16	98.38	66.5	3	6	197	844	17	829	563	21	7	15	11	11	0	0	18.110556602478027	350	179.63557267189026	
161.54	9.48	104.56	70.76	4	7	223	844	17	829	563	21	7	19	13	14	0	0	26.672699213027954	400	206.3082718849182	
165.78	9.56	105.12	71.22	4	8	254	844	17	829	563	21	7	15	11	13	0	0	20.093069553375244	450	226.40134143829346	
165.1	9.58	103.64	70.22	4	9	286	844	17	829	563	21	7	15	11	11	0	0	19.34445023536682	500	245.74579167366028	
152.08	9.74	93.78	63.76	4	10	309	844	17	829	563	18	7	15	11	11	0	0	28.681832551956177	550	274.42762422561646	
153.04	9.84	92.32	62.78	4	11	339	844	17	829	563	18	7	15	11	11	0	0	20.955352544784546	600	295.382976770401	
161.52	9.88	92.74	63.02	5	12	373	844	17	829	563	18	7	15	11	10	0	0	18.070176601409912	650	313.4531533718109	
164.28	10.08	94.82	64.46	5	13	403	844	17	829	563	18	7	15	11	9	0	0	21.65464735031128	700	335.1078007221222	
169.3	10.24	96.56	65.72	5	14	431	844	17	829	563	18	7	15	11	9	0	0	26.242250442504883	750	361.3500511646271	
169.26	10.24	95.58	65.04	5	15	455	844	16	829	563	18	7	15	11	10	0	0	29.028981685638428	800	390.3790328502655	
172.28	10.24	95.38	64.86	5	16	483	844	16	829	563	18	7	15	11	10	0	0	26.637012481689453	850	417.01604533195496	
161.88	10.28	81.16	55.18	3	17	509	406	16	386	263	18	7	15	11	11	0	0	25.172027111053467	900	442.1880724430084	
173.94	10.28	80.96	55.1	3	18	537	406	16	386	263	21	7	15	11	10	0	0	25.881255865097046	950	468.06932830810547	
173.18	10.32	83.46	56.74	3	19	574	406	16	386	263	21	7	15	11	10	0	0	15.35706615447998	1000	483.42639446258545	
