ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	first_front	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	pareto_fronts	runtime_error	time_adjust	time_taken	total_inds	total_time	
137.7	8.61	135.27	91.94	3	0	0	1066	11	1047	711	16	7	15	11	26	0	0	144.9705352783203	100	144.9705352783203	
127.11	8.59	107.1	72.78	3	1	62	1066	12	1047	711	16	7	15	11	14	0	0	45.6946976184845	200	190.6652328968048	
133.9	8.51	94.14	63.86	2	2	130	1066	12	1047	711	12	7	15	11	17	0	0	36.26171851158142	300	226.92695140838623	
137.41	8.71	87.23	59.06	2	3	180	873	13	853	582	12	7	15	11	21	0	0	58.17499017715454	400	285.10194158554077	
140.22	8.71	86.78	58.71	2	4	224	873	13	853	582	14	7	15	11	23	0	0	62.94126844406128	500	348.04321002960205	
118.06	8.66	65.95	44.55	2	5	262	663	13	652	442	14	7	15	11	23	0	0	69.19398331642151	600	417.23719334602356	
118.98	8.63	59.11	39.91	3	6	303	663	13	652	442	14	7	15	11	22	0	0	67.35832214355469	700	484.59551548957825	
119.34	8.58	58.56	39.49	3	7	333	663	15	652	442	14	7	15	11	21	0	0	78.04734230041504	800	562.6428577899933	
118.41	8.5	56.07	37.73	3	8	362	663	15	652	442	14	7	15	11	20	0	0	79.19343781471252	900	641.8362956047058	
116.37	8.5	53.09	35.73	3	9	384	663	15	652	442	14	7	15	11	22	0	0	86.98886632919312	1000	728.8251619338989	
118.43	8.45	51.91	34.93	3	10	412	663	15	652	442	13	7	15	11	20	0	0	80.10022616386414	1100	808.9253880977631	
121.59	8.42	51.37	34.55	3	11	433	663	15	652	442	13	7	15	11	21	0	0	87.25817823410034	1200	896.1835663318634	
133.08	8.38	48.03	32.39	4	12	447	663	15	652	442	14	7	15	11	21	0	0	93.95367097854614	1300	990.1372373104095	
132.8	8.42	48.59	32.8	4	13	474	663	15	652	442	14	7	15	11	23	0	0	80.19011926651001	1400	1070.3273565769196	
139.45	8.35	44.93	30.44	4	14	500	663	15	652	442	14	7	15	11	25	0	0	82.93362498283386	1500	1153.2609815597534	
140.91	8.37	44.36	30.13	5	15	520	663	15	652	442	14	7	15	11	26	0	0	86.57217121124268	1600	1239.833152770996	
136.37	8.35	43.61	29.64	5	16	544	663	15	652	442	14	7	15	11	23	0	0	82.38044500350952	1700	1322.2135977745056	
128.76	8.35	42.63	28.95	4	17	569	663	15	652	442	14	7	15	11	23	0	0	82.75393795967102	1800	1404.9675357341766	
125.21	8.35	42.46	28.85	4	18	582	663	15	652	442	14	7	15	11	22	0	0	96.91898488998413	1900	1501.8865206241608	
123.65	8.36	42.74	29.03	4	19	597	663	15	652	442	14	7	15	11	22	0	0	93.57791495323181	2000	1595.4644355773926	
125.73	8.38	41.94	28.48	4	20	618	663	15	652	442	14	7	15	11	23	0	0	87.35013747215271	2100	1682.8145730495453	
126.8	8.38	41.12	27.95	4	21	644	663	15	652	442	14	7	15	11	24	0	0	81.71637678146362	2200	1764.530949831009	
129.46	8.48	43.08	29.3	4	22	665	663	15	652	442	14	7	15	11	24	0	0	86.44733881950378	2300	1850.9782886505127	
131.23	8.53	45.2	30.72	4	23	689	663	15	652	442	14	7	15	11	24	0	0	86.88529658317566	2400	1937.8635852336884	
131.5	8.58	46.52	31.63	4	24	722	663	15	652	442	14	7	15	11	23	0	0	74.52670550346375	2500	2012.390290737152	
134.39	8.66	45.16	30.77	4	25	747	663	15	652	442	14	8	15	11	23	0	0	84.55201077461243	2600	2096.9423015117645	
130.11	8.59	37.1	25.35	4	26	771	478	15	279	191	14	8	15	11	23	0	0	85.42219758033752	2700	2182.364499092102	
