ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	first_front	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	pareto_fronts	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
741.72	11.54	723.38	494.64	12	0	0	12646	17	12361	8431	21	7	20	14	9	0	0	360.9191966056824	50	360.9191966056824	50	0.0	
590.84	10.42	559.4	382.28	12	1	20	12646	17	12361	8431	21	7	15	11	7	0	0	60.07585573196411	100	420.9950523376465	80	20.0	
543.2	10.08	502.36	343.28	13	2	48	12646	17	12361	8431	21	7	15	11	5	0	0	43.73815560340881	150	464.7332079410553	102	32.0	
220.44	9.6	157.92	108.1	17	3	74	1585	17	1545	1057	13	7	15	11	5	0	0	45.1209831237793	200	509.8541910648346	125	37.5	
223.88	9.24	139.28	95.38	23	4	98	1585	15	1545	1057	13	7	15	11	4	0	0	52.10200905799866	250	561.9562001228333	147	41.2	
181.38	9.02	113.64	78.0	27	5	113	1585	15	1545	1057	7	7	15	11	4	0	0	67.09927725791931	300	629.0554773807526	176	41.333333333333336	
150.68	8.86	78.32	53.8	32	6	135	1333	15	1312	889	7	7	15	11	4	0	0	54.34951376914978	350	683.4049911499023	204	41.714285714285715	
133.44	8.76	73.98	50.72	31	7	152	1333	15	1312	889	7	7	19	13	3	0	0	72.15861797332764	400	755.56360912323	233	41.75	
