ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	first_front	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	pareto_fronts	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
829.48	11.78	786.04	553.2	4	0	0	12532	17	11905	8355	28	7	27	19	10	27	0	169.75697565078735	50	169.75697565078735	50	0.0	
155.04	9.194444444444445	120.86111111111111	84.86111111111111	4	1	37	1143	14.0	1094.0	762.0	27	7.0	26.0	19.0	10	28	0	43.533446073532104	100	213.29042172431946	63	37.0	
209.36	9.98	108.38	76.44	6	2	69	1143	20	1094	762	28	7	26	19	11	29	0	67.28962588310242	150	280.5800476074219	81	46.0	
243.58	10.5	112.16	79.1	10	3	91	1143	18	1094	762	28	7	26	19	11	36	0	79.04472875595093	200	359.6247763633728	108	46.0	
223.8	11.18	124.92	88.2	10	4	113	1143	16	1094	762	28	7	25	18	14	42	0	84.72585415840149	250	444.3506305217743	136	45.599999999999994	
224.22	10.92	123.26	86.98	10	5	141	1143	16	1094	762	28	7	25	18	15	46	0	65.52925992012024	300	509.87989044189453	158	47.333333333333336	
222.86	10.74	121.18	85.34	12	6	166	1143	16	1094	762	28	7	25	18	12	55	0	61.024680614471436	350	570.904571056366	183	47.71428571428571	
239.54	10.74	115.84	81.46	12	7	193	1143	16	1094	762	28	7	25	18	8	59	0	71.33887600898743	400	642.2434470653534	205	48.75000000000001	
236.02	10.8	93.54	65.92	14	8	217	804	18	770	536	28	7	25	18	6	61	0	92.20182824134827	450	734.4452753067017	230	48.88888888888889	
237.2	10.58	91.74	64.7	15	9	238	804	16	770	536	28	7	25	18	6	65	0	94.45035552978516	500	828.8956308364868	259	48.199999999999996	
239.68	10.7	89.28	63.1	19	10	259	804	17	770	536	28	7	25	18	6	69	0	96.00940442085266	550	924.9050352573395	288	47.63636363636363	
244.14	10.98	93.68	66.28	21	11	284	804	17	770	536	30	7	29	20	6	74	0	84.79971218109131	600	1009.7047474384308	313	47.833333333333336	
231.04	10.9	88.24	62.58	26	12	299	804	17	770	536	30	7	26	19	5	82	0	104.07136392593384	650	1113.7761113643646	348	46.46153846153847	
230.0	10.76	88.14	62.6	30	13	316	804	19	770	536	30	7	26	19	5	88	0	104.25000739097595	700	1218.0261187553406	380	45.714285714285715	
236.48	10.94	86.62	61.7	30	14	335	804	19	770	536	30	8	26	19	4	91	0	103.47336626052856	750	1321.4994850158691	411	45.199999999999996	
234.34	10.98	86.78	61.82	30	15	353	804	19	770	536	30	8	26	19	4	97	0	96.4995846748352	800	1417.9990696907043	443	44.625	
227.64	11.02	70.72	50.7	32	16	370	397	19	228	162	102	8	26	19	5	102	0	107.11223530769348	850	1525.1113049983978	474	44.23529411764706	
225.9	10.92	68.26	48.92	37	17	390	397	19	228	162	102	8	26	19	4	105	0	105.57504081726074	900	1630.6863458156586	503	44.111111111111114	
229.3	10.82	64.54	46.3	40	18	410	397	19	160	111	102	8	26	19	4	111	0	90.00931644439697	950	1720.6956622600555	533	43.89473684210527	
226.44	10.82	63.2	45.42	44	19	428	397	19	160	111	102	8	26	19	3	117	0	99.61410117149353	1000	1820.309763431549	565	43.50000000000001	
225.7	10.76	60.5	43.54	47	20	440	397	17	160	111	102	8	26	19	3	122	0	122.01220560073853	1050	1942.3219690322876	603	42.57142857142857	
226.38	10.76	56.58	40.86	50	21	457	397	17	139	101	102	8	26	19	2	123	0	119.972336769104	1100	2062.2943058013916	636	42.18181818181819	
227.12	10.86	55.52	40.14	50	22	473	397	18	139	101	102	8	26	19	2	129	0	102.27023577690125	1150	2164.564541578293	669	41.826086956521735	
226.34	10.56	52.16	37.72	50	23	489	397	18	139	101	102	8	25	18	2	136	0	100.85889601707458	1200	2265.4234375953674	703	41.41666666666667	
229.12	10.46	53.92	38.98	49	24	506	397	18	139	101	102	8	25	18	3	138	0	123.87387013435364	1250	2389.297307729721	736	41.120000000000005	
224.08	10.3	49.64	35.94	50	25	523	397	18	131	95	102	8	25	18	2	143	0	119.20274782180786	1300	2508.500055551529	767	41.0	
224.8	9.88	45.66	33.02	50	26	537	415	15	124	90	102	8	25	18	2	145	0	135.42972493171692	1350	2643.929780483246	802	40.59259259259259	
227.18	9.98	46.26	33.5	50	27	549	415	15	124	90	102	8	25	18	2	151	0	122.63240098953247	1400	2766.5621814727783	840	40.0	
233.56	9.86	43.62	31.62	20	28	566	426	14	76	55	102	8	25	18	3	153	0	124.46280980110168	1450	2891.02499127388	872	39.86206896551724	
232.64	9.72	42.06	30.44	27	29	580	426	14	76	55	102	8	25	18	3	158	0	123.52831482887268	1500	3014.5533061027527	907	39.53333333333333	
236.38	9.76	42.22	30.56	28	30	596	426	14	76	55	102	8	25	18	3	161	0	124.37762570381165	1550	3138.9309318065643	941	39.29032258064517	
230.3	9.8	41.6	30.14	30	31	611	426	14	76	55	102	8	25	18	3	170	0	100.80765724182129	1600	3239.7385890483856	976	39.0	
240.7	9.78	42.7	30.9	5	32	626	429	13	120	85	106	8	25	18	3	174	0	123.1812059879303	1650	3362.919795036316	1011	38.727272727272734	
246.54	9.9	45.06	32.6	6	33	639	429	15	123	89	108	8	25	18	3	178	0	126.67899918556213	1700	3489.598794221878	1048	38.35294117647059	
256.06	9.92	49.28	35.58	6	34	650	432	15	166	119	108	8	25	18	4	185	0	144.20151901245117	1750	3633.800313234329	1085	38.0	
269.62	10.48	58.62	42.24	7	35	667	429	17	222	155	108	8	25	18	4	191	0	123.58563137054443	1800	3757.3859446048737	1118	37.88888888888889	
272.72	10.96	64.92	46.78	7	36	688	429	17	222	155	108	8	25	18	4	197	0	109.99314332008362	1850	3867.3790879249573	1147	38.0	
286.44	11.28	69.32	49.9	8	37	701	432	17	222	155	108	8	26	19	4	205	0	135.31564378738403	1900	4002.6947317123413	1183	37.73684210526316	
307.68	11.24	67.8	48.92	10	38	722	455	17	166	119	108	8	26	19	4	207	0	127.0585286617279	1950	4129.753260374069	1212	37.846153846153854	
321.64	11.18	67.68	48.82	11	39	746	455	17	166	119	159	8	26	19	4	209	0	119.9885516166687	2000	4249.741811990738	1238	38.1	
331.94	11.18	67.28	48.5	11	40	768	455	17	166	119	159	8	26	19	4	211	0	120.20022678375244	2050	4369.94203877449	1266	38.24390243902439	
331.1	11.2	67.84	48.9	11	41	788	455	17	166	119	159	8	26	19	4	218	0	107.32977199554443	2100	4477.271810770035	1296	38.28571428571429	
341.64	11.28	68.94	49.64	14	42	812	456	17	166	119	159	8	26	19	4	222	0	100.74155640602112	2150	4578.013367176056	1322	38.51162790697674	
363.1	10.78	63.82	45.92	14	43	829	467	15	166	119	153	8	26	19	4	234	0	97.70936512947083	2200	4675.722732305527	1355	38.40909090909091	
356.52	10.74	61.44	44.22	18	44	846	474	17	166	119	153	8	26	19	4	236	0	143.8311150074005	2250	4819.553847312927	1388	38.31111111111111	
336.9	10.7	58.38	42.02	20	45	867	474	17	123	89	153	8	26	19	4	240	0	113.89020895957947	2300	4933.444056272507	1415	38.47826086956522	
330.18	10.9	59.34	42.78	20	46	876	474	17	123	89	153	8	26	19	5	248	0	157.72028756141663	2350	5091.164343833923	1456	38.04255319148936	
324.0	10.84	59.42	42.76	20	47	887	456	17	123	89	175	8	26	19	5	252	0	152.7773199081421	2400	5243.941663742065	1495	37.708333333333336	
319.02	10.76	57.2	41.14	22	48	904	456	17	123	89	175	8	26	19	5	254	0	138.23968601226807	2450	5382.1813497543335	1527	37.6734693877551	
322.5	10.94	57.78	41.6	23	49	924	456	17	123	89	172	8	26	19	5	258	0	118.25907135009766	2500	5500.440421104431	1557	37.72	
318.8	10.88	57.76	41.58	24	50	944	458	17	123	89	172	8	26	19	5	264	0	109.5023603439331	2550	5609.942781448364	1586	37.80392156862745	
319.38	11.12	59.66	42.88	26	51	964	476	17	123	89	172	8	26	19	5	267	0	126.11732721328735	2600	5736.060108661652	1616	37.846153846153854	
325.76	11.16	59.76	42.96	29	52	978	476	20	123	89	172	8	26	19	4	271	0	153.5942714214325	2650	5889.654380083084	1652	37.66037735849057	
323.78	11.16	59.76	42.96	30	53	993	476	20	123	89	172	8	26	19	4	281	0	112.79055142402649	2700	6002.444931507111	1686	37.55555555555555	
320.36	11.16	59.8	43.0	31	54	1016	476	20	123	89	172	8	26	19	4	286	0	101.02235174179077	2750	6103.467283248901	1712	37.74545454545455	
318.88	11.22	60.98	43.82	31	55	1030	476	20	123	89	158	8	30	21	4	289	0	152.13914489746094	2800	6255.606428146362	1748	37.57142857142857	
319.28	11.22	59.84	43.0	33	56	1059	476	20	123	89	172	8	30	21	4	292	0	67.57258653640747	2850	6323.17901468277	1768	37.96491228070175	
323.54	11.3	60.92	43.78	33	57	1078	476	20	123	89	172	8	30	21	4	300	0	89.23712396621704	2900	6412.416138648987	1799	37.96551724137931	
324.38	11.24	60.44	43.4	33	58	1094	476	20	123	89	172	8	30	21	4	305	0	123.17742943763733	2950	6535.593568086624	1833	37.86440677966102	
310.18	11.16	59.46	42.66	35	59	1116	476	20	123	89	172	8	30	21	4	310	0	87.173574924469	3000	6622.767143011093	1861	37.96666666666667	
303.14	11.22	59.5	42.7	37	60	1136	476	20	123	89	172	8	30	21	4	316	0	96.32080292701721	3050	6719.08794593811	1891	38.0	
303.14	11.22	59.5	42.7	37	60	1136	476	20	123	89	172	8	30	21	4	316	0	96.32080292701721	3050	6719.08794593811	1891	38.0	
