ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	first_front	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	pareto_fronts	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
787.912	11.642	766.228	525.416	3	0	0	14505	17	14222	9670	18	7	18	12	62	77	0	2557.228432416916	500	2557.228432416916	423	15.400000000000006	
271.168	10.126	232.362	159.86	3	1	288	5385	20	5258	3590	10	7	18	12	55	77	0	618.3397178649902	1000	3175.568150281906	628	37.2	
288.306	10.294	235.116	161.722	3	2	514	5385	20	5258	3590	9	7	18	12	67	78	0	812.7557928562164	1500	3988.3239431381226	877	41.53333333333333	
198.412	9.622	121.938	84.13	4	3	717	5385	20	5258	3590	9	7	18	12	75	82	0	801.8205547332764	2000	4790.144497871399	1143	42.85	
